[00:06:54] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:06:56] [main/INFO]: Reloading ResourceManager: Default
[00:06:59] [Worker-Main-5/INFO]: Loaded 7 recipes
[00:07:01] [Worker-Main-5/INFO]: Loaded 1127 advancements
[00:07:05] [Server thread/INFO]: Starting minecraft server version 21w17a
[00:07:05] [Server thread/INFO]: Loading properties
[00:07:05] [Server thread/INFO]: Default game type: SURVIVAL
[00:07:05] [Server thread/INFO]: Generating keypair
[00:07:05] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:07:05] [Server thread/INFO]: Using default channel type
[00:07:06] [Server thread/INFO]: Preparing level "world"
[00:07:35] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[00:07:35] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[00:07:36] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[00:07:36] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[00:07:37] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[00:07:37] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[00:07:38] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[00:07:38] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[00:07:39] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[00:07:39] [Worker-Main-4/INFO]: Preparing spawn area: 3%
[00:07:40] [Worker-Main-4/INFO]: Preparing spawn area: 3%
[00:07:40] [Worker-Main-5/INFO]: Preparing spawn area: 3%
[00:07:41] [Worker-Main-5/INFO]: Preparing spawn area: 3%
[00:07:41] [Worker-Main-5/INFO]: Preparing spawn area: 3%
[00:07:42] [Worker-Main-6/INFO]: Preparing spawn area: 3%
[00:07:42] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[00:07:43] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[00:07:43] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[00:07:44] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[00:07:44] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[00:07:45] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[00:07:45] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[00:07:46] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[00:07:46] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[00:07:47] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[00:07:47] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[00:07:48] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[00:07:48] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[00:07:49] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[00:07:49] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[00:07:50] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[00:07:50] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:51] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:51] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:07:52] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:52] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:07:53] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:53] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:54] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:07:54] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:55] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:07:55] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:56] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:07:56] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:57] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:07:57] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:58] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:07:58] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:59] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:07:59] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:08:00] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:08:00] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:08:01] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:08:01] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[00:08:02] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:08:02] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:08:03] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:08:03] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:08:04] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[00:08:04] [Worker-Main-6/INFO]: Preparing spawn area: 10%
[00:08:05] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[00:08:05] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[00:08:06] [Worker-Main-5/INFO]: Preparing spawn area: 17%
[00:08:06] [Worker-Main-5/INFO]: Preparing spawn area: 17%
[00:08:07] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[00:08:07] [Worker-Main-4/INFO]: Preparing spawn area: 19%
[00:08:08] [Worker-Main-4/INFO]: Preparing spawn area: 19%
[00:08:08] [Worker-Main-6/INFO]: Preparing spawn area: 19%
[00:08:09] [Worker-Main-4/INFO]: Preparing spawn area: 19%
[00:08:09] [Worker-Main-4/INFO]: Preparing spawn area: 19%
[00:08:10] [Worker-Main-6/INFO]: Preparing spawn area: 19%
[00:08:10] [Worker-Main-4/INFO]: Preparing spawn area: 19%
[00:08:11] [Worker-Main-4/INFO]: Preparing spawn area: 19%
[00:08:11] [Worker-Main-6/INFO]: Preparing spawn area: 19%
[00:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 19%
[00:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 19%
[00:08:13] [Worker-Main-6/INFO]: Preparing spawn area: 19%
[00:08:13] [Worker-Main-5/INFO]: Preparing spawn area: 23%
[00:08:14] [Worker-Main-5/INFO]: Preparing spawn area: 23%
[00:08:14] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[00:08:15] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[00:08:15] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[00:08:16] [Worker-Main-5/INFO]: Preparing spawn area: 24%
[00:08:16] [Worker-Main-6/INFO]: Preparing spawn area: 25%
[00:08:17] [Worker-Main-4/INFO]: Preparing spawn area: 25%
[00:08:17] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[00:08:18] [Worker-Main-6/INFO]: Preparing spawn area: 26%
[00:08:18] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[00:08:19] [Worker-Main-6/INFO]: Preparing spawn area: 26%
[00:08:19] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[00:08:20] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[00:08:20] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[00:08:21] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[00:08:21] [Worker-Main-5/INFO]: Preparing spawn area: 31%
[00:08:24] [Worker-Main-5/INFO]: Preparing spawn area: 31%
[00:08:24] [Worker-Main-5/INFO]: Preparing spawn area: 31%
[00:08:24] [Worker-Main-5/INFO]: Preparing spawn area: 31%
[00:08:24] [Worker-Main-4/INFO]: Preparing spawn area: 31%
[00:08:24] [Worker-Main-5/INFO]: Preparing spawn area: 31%
[00:08:28] [Worker-Main-5/INFO]: Preparing spawn area: 34%
[00:08:28] [Worker-Main-5/INFO]: Preparing spawn area: 34%
[00:08:28] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[00:08:28] [Worker-Main-5/INFO]: Preparing spawn area: 34%
[00:08:28] [Worker-Main-5/INFO]: Preparing spawn area: 34%
[00:08:28] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[00:08:28] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[00:08:28] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[00:08:29] [Worker-Main-5/INFO]: Preparing spawn area: 42%
[00:08:29] [Worker-Main-4/INFO]: Preparing spawn area: 42%
[00:08:29] [Worker-Main-5/INFO]: Preparing spawn area: 42%
[00:08:35] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-4/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[00:08:35] [Worker-Main-4/INFO]: Preparing spawn area: 47%
[00:08:39] [Worker-Main-6/INFO]: Preparing spawn area: 48%
[00:08:39] [Worker-Main-5/INFO]: Preparing spawn area: 48%
[00:08:39] [Worker-Main-6/INFO]: Preparing spawn area: 48%
[00:08:40] [Worker-Main-5/INFO]: Preparing spawn area: 48%
[00:08:40] [Worker-Main-5/INFO]: Preparing spawn area: 48%
[00:08:40] [Worker-Main-5/INFO]: Preparing spawn area: 48%
[00:08:40] [Worker-Main-6/INFO]: Preparing spawn area: 48%
[00:08:40] [Worker-Main-5/INFO]: Preparing spawn area: 48%
[00:08:40] [Worker-Main-6/INFO]: Preparing spawn area: 55%
[00:08:40] [Worker-Main-6/INFO]: Preparing spawn area: 55%
[00:08:41] [Worker-Main-5/INFO]: Preparing spawn area: 56%
[00:08:41] [Worker-Main-6/INFO]: Preparing spawn area: 56%
[00:08:45] [Worker-Main-6/INFO]: Preparing spawn area: 58%
[00:08:45] [Worker-Main-5/INFO]: Preparing spawn area: 58%
[00:08:45] [Worker-Main-5/INFO]: Preparing spawn area: 58%
[00:08:45] [Worker-Main-4/INFO]: Preparing spawn area: 58%
[00:08:45] [Worker-Main-5/INFO]: Preparing spawn area: 58%
[00:08:45] [Worker-Main-4/INFO]: Preparing spawn area: 58%
[00:08:45] [Worker-Main-5/INFO]: Preparing spawn area: 58%
[00:08:45] [Worker-Main-6/INFO]: Preparing spawn area: 64%
[00:08:47] [Worker-Main-4/INFO]: Preparing spawn area: 65%
[00:08:47] [Worker-Main-4/INFO]: Preparing spawn area: 65%
[00:08:47] [Worker-Main-6/INFO]: Preparing spawn area: 65%
[00:08:47] [Worker-Main-6/INFO]: Preparing spawn area: 65%
[00:08:48] [Worker-Main-4/INFO]: Preparing spawn area: 68%
[00:08:49] [Worker-Main-5/INFO]: Preparing spawn area: 69%
[00:08:49] [Worker-Main-4/INFO]: Preparing spawn area: 69%
[00:08:53] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[00:08:53] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[00:08:53] [Worker-Main-6/INFO]: Preparing spawn area: 71%
[00:08:53] [Worker-Main-6/INFO]: Preparing spawn area: 71%
[00:08:53] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[00:08:53] [Worker-Main-6/INFO]: Preparing spawn area: 71%
[00:08:53] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[00:08:53] [Worker-Main-6/INFO]: Preparing spawn area: 78%
[00:08:55] [Worker-Main-6/INFO]: Preparing spawn area: 78%
[00:08:55] [Worker-Main-4/INFO]: Preparing spawn area: 78%
[00:08:55] [Worker-Main-6/INFO]: Preparing spawn area: 78%
[00:08:55] [Worker-Main-6/INFO]: Preparing spawn area: 78%
[00:08:55] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[00:08:57] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[00:08:57] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[00:08:57] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[00:08:57] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[00:08:58] [Worker-Main-4/INFO]: Preparing spawn area: 86%
[00:09:00] [Worker-Main-4/INFO]: Preparing spawn area: 87%
[00:09:00] [Worker-Main-6/INFO]: Preparing spawn area: 87%
[00:09:00] [Worker-Main-4/INFO]: Preparing spawn area: 87%
[00:09:00] [Worker-Main-4/INFO]: Preparing spawn area: 87%
[00:09:00] [Worker-Main-6/INFO]: Preparing spawn area: 89%
[00:09:01] [Worker-Main-5/INFO]: Preparing spawn area: 89%
[00:09:01] [Worker-Main-5/INFO]: Preparing spawn area: 90%
[00:09:02] [Worker-Main-4/INFO]: Preparing spawn area: 92%
[00:09:05] [Worker-Main-5/INFO]: Preparing spawn area: 92%
[00:09:05] [Worker-Main-6/INFO]: Preparing spawn area: 92%
[00:09:05] [Worker-Main-5/INFO]: Preparing spawn area: 92%
[00:09:05] [Worker-Main-6/INFO]: Preparing spawn area: 92%
[00:09:05] [Worker-Main-5/INFO]: Preparing spawn area: 92%
[00:09:05] [Worker-Main-4/INFO]: Preparing spawn area: 92%
[00:09:05] [Server thread/INFO]: Time elapsed: 102546 ms
[00:09:05] [Server thread/INFO]: Done (118.831s)! For help, type "help"
[00:09:07] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2119ms or 42 ticks behind
